ID	x	y	Tribe	VID	Village	User_ID	Player	AID	Alliance	Pop	Pop_d-1	difference1	distance	links
321567	-35	-1	1	476	01Earl Grey	287	Teabag	36	2MA	520	462	58	0	https://ts81.travian.com/karte.php?x=-35&y=-1
320765	-36	0	1	458	Gala`s village	176	Gala	16	Kipish	127	112	15	1	https://ts81.travian.com/karte.php?x=-36&y=0
322367	-36	-2	1	498	THC`s village	251	THC	0		24	24	0	1	https://ts81.travian.com/karte.php?x=-36&y=-2
322369	-34	-2	1	295	Oldmann	203	Ghost Devil	0		145	128	17	1	https://ts81.travian.com/karte.php?x=-34&y=-2
319966	-34	1	2	308	desth`s village	146	desth	0		15	15	0	2	https://ts81.travian.com/karte.php?x=-34&y=1
319164	-35	2	1	366	00	242	Tmac	17	salling	342	316	26	3	https://ts81.travian.com/karte.php?x=-35&y=2
323166	-38	-3	2	615	deneme	316	deneme123	0		24	24	0	3	https://ts81.travian.com/karte.php?x=-38&y=-3
323970	-35	-4	1	403	γιαννενα	256	horhe888	17	salling	160	135	25	3	https://ts81.travian.com/karte.php?x=-35&y=-4
318362	-36	3	1	467	Inkasator`s village	267	Inkasator	0		8	8	0	4	https://ts81.travian.com/karte.php?x=-36&y=3
319161	-38	2	1	611	Zardy`s Spawn	376	Zardy	0		389	268	121	4	https://ts81.travian.com/karte.php?x=-38&y=2
320770	-31	0	3	94	Davedave`s village	108	Davedave	0		8	8	0	4	https://ts81.travian.com/karte.php?x=-31&y=0
323973	-32	-4	3	147	CAVE	62	Garycaveman	31	GRB	442	432	10	4	https://ts81.travian.com/karte.php?x=-32&y=-4
317560	-37	4	2	516	istanbul	327	TURK	0		32	32	0	5	https://ts81.travian.com/karte.php?x=-37&y=4
321572	-30	-1	1	36	LOST !!!	34	SETienne_35	32	Gl4dius	320	271	49	5	https://ts81.travian.com/karte.php?x=-30&y=-1
316762	-34	5	3	283	maestro zen`s village	193	maestro zen	3	IN	29	29	0	6	https://ts81.travian.com/karte.php?x=-34&y=5
316764	-32	5	1	111	1-MALDINI	114	vinzo99	2	Gladius	449	423	26	6	https://ts81.travian.com/karte.php?x=-32&y=5
320760	-41	0	1	837	lion`s village	543	lion	0		15	14	1	6	https://ts81.travian.com/karte.php?x=-41&y=0
325576	-31	-6	2	76	Sheev`s	91	Sheev	17	salling	431	427	4	6	https://ts81.travian.com/karte.php?x=-31&y=-6
315957	-38	6	1	544	#0	313	Reign	2	Gladius	408	354	54	7	https://ts81.travian.com/karte.php?x=-38&y=6
